id,user,uid,version,changeset,timestamp
4342281,AnkEric,242798,5,17117018,2013-07-27T18:23:14Z
4428035,fsteggink,37993,21,37802277,2016-03-13T15:41:26Z
4695209,AEelderink,1331238,4,25897873,2014-10-06T13:57:34Z
6319537,It's so funny_mechanical,2394881,25,26223527,2014-10-20T21:31:22Z
7010616,fsteggink,37993,7,4904605,2010-06-04T21:25:50Z
7010717,rivw,1890760,4,24966482,2014-08-23T22:12:40Z
7010904,cartinus,22347,7,14078206,2012-11-28T20:06:11Z
7012710,AlbertP,2775770,10,35087449,2015-11-04T20:25:33Z
7012748,AlbertP,2775770,8,37058434,2016-02-07T12:24:14Z
7012796,AlbertP,2775770,4,37058434,2016-02-07T12:24:11Z
7012837,Hendrikklaas,657581,9,26080857,2014-10-14T19:50:47Z
7012875,fsteggink,37993,5,37802277,2016-03-13T15:41:24Z
7012912,rivw,1890760,11,24966482,2014-08-23T22:12:38Z
7012962,AlbertP,2775770,8,37058434,2016-02-07T12:24:12Z
7012985,Hendrikklaas,657581,11,26080591,2014-10-14T19:38:42Z
7013040,fsteggink,37993,10,37802277,2016-03-13T15:41:18Z
7013109,It's so funny_mechanical,2394881,6,27419838,2014-12-12T12:11:20Z
7013135,Martien Sch,319572,17,43201518,2016-10-26T20:10:45Z
7013178,Sander H,327477,11,17284641,2013-08-09T21:09:08Z
7013194,Sander H,327477,13,17284641,2013-08-09T20:52:05Z
7013415,Hendrikklaas,657581,4,11400281,2012-04-23T22:53:52Z
7052419,John10,3257609,5,38436798,2016-04-09T19:53:44Z
7052433,Hendrikklaas,657581,6,31518314,2015-05-27T23:15:07Z
7052443,Hendrikklaas,657581,7,21919462,2014-04-24T23:16:46Z
7052458,cartinus,22347,2,14155484,2012-12-04T19:24:16Z
7052473,cartinus,22347,4,4366822,2010-04-08T19:09:13Z
7052486,Imergis,1794001,4,45369225,2017-01-22T13:18:46Z
7052501,AnkEric,242798,5,35630976,2015-11-28T16:13:04Z
7052514,Hendrikklaas,657581,7,31490263,2015-05-26T22:23:42Z
7052526,Hendrikklaas,657581,3,20076849,2014-01-18T23:48:34Z
7052538,GrrdWd,1978938,4,21173379,2014-03-18T12:46:50Z
7052554,cartinus,22347,3,4339879,2010-04-05T23:43:20Z
7052569,cartinus,22347,2,4339879,2010-04-05T23:43:23Z
7052583,cartinus,22347,2,4339879,2010-04-05T23:43:23Z
7052597,Hendrikklaas,657581,3,43436516,2016-11-06T08:46:06Z
7052608,cartinus,22347,5,4367977,2010-04-08T20:59:45Z
7052626,Hendrikklaas,657581,4,21779424,2014-04-18T22:48:46Z
7052645,Hendrikklaas,657581,3,43436516,2016-11-06T08:46:06Z
7052657,Hendrikklaas,657581,8,31518015,2015-05-27T22:48:44Z
7052669,Hendrikklaas,657581,4,22067108,2014-05-01T16:18:23Z
7052687,It's so funny_mechanical,2394881,5,27419838,2014-12-12T12:12:54Z
7052704,Hendrikklaas,657581,6,31484739,2015-05-26T19:40:50Z
7052720,Davlak,217070,8,16538097,2013-06-13T15:30:39Z
7052739,Gertjan Idema,331608,9,41452024,2016-08-14T18:24:33Z
7052751,It's so funny_mechanical,2394881,5,27419838,2014-12-12T12:12:54Z
7052792,Hendrikklaas,657581,8,24084583,2014-07-11T15:26:04Z
7052815,Imergis,1794001,5,33948653,2015-09-11T06:22:14Z
7052843,Hendrikklaas,657581,3,26490664,2014-11-01T20:43:45Z
7052861,Hendrikklaas,657581,4,26492449,2014-11-01T22:21:57Z
7052881,cartinus,22347,6,15217090,2013-03-02T03:21:09Z
7052904,Martien Sch,319572,10,42878594,2016-10-13T18:56:45Z
7052949,Hendrikklaas,657581,13,26106755,2014-10-15T22:44:52Z
7052974,Hendrikklaas,657581,17,25972385,2014-10-09T23:31:30Z
7053000,AlbertP,2775770,10,35508534,2015-11-22T13:40:36Z
7053023,Hendrikklaas,657581,5,26061718,2014-10-13T23:07:15Z
7053039,Hendrikklaas,657581,12,26105619,2014-10-15T21:26:22Z
7053075,fsteggink,37993,5,8082840,2011-05-08T13:54:00Z
7053095,GercoKees,12527,5,591604,2008-07-25T12:24:17Z
7053114,Hendrikklaas,657581,10,26035911,2014-10-12T21:39:42Z
7053138,AEelderink,1331238,8,29542471,2015-03-17T14:40:48Z
7053173,cartinus,22347,7,1334689,2009-05-27T15:09:57Z
7053197,Davlak,217070,4,16538097,2013-06-13T14:48:55Z
7053236,Gertjan Idema,331608,8,41244865,2016-08-04T18:45:34Z
7053270,georgfuchs,3306077,7,39668947,2016-05-30T16:04:48Z
7053296,Martien Sch,319572,6,28965029,2015-02-19T20:29:18Z
7053316,Sander H,327477,11,17284641,2013-08-09T20:52:17Z
7053338,AnkEric,242798,9,40319826,2016-06-27T12:43:21Z
7053404,Davlak,217070,6,16538097,2013-06-13T14:37:15Z
7053424,GercoKees,12527,4,591604,2008-07-25T12:31:15Z
7053438,Davlak,217070,7,16538097,2013-06-13T14:32:11Z
7053510,Davlak,217070,7,16538097,2013-06-13T14:48:55Z
7053526,cartinus,22347,4,14164036,2012-12-05T14:33:48Z
7053544,Davlak,217070,8,16538097,2013-06-13T14:21:31Z
7053562,Davlak,217070,8,16538097,2013-06-13T15:58:18Z
7053579,CJTmmr,1926697,13,41787294,2016-08-29T20:19:55Z
7053611,Sander H,327477,15,40971303,2016-07-23T13:13:48Z
7053631,PeeWee32,353766,8,44162965,2016-12-04T18:04:30Z
7053644,AlbertP,2775770,7,34910143,2015-10-27T18:25:25Z
7053656,Hendrikklaas,657581,6,41467924,2016-08-15T13:47:53Z
7053674,Gertjan Idema,331608,9,40485944,2016-07-04T20:02:00Z
7053694,ijsb,37444,8,29689913,2015-03-23T21:46:44Z
7053723,Hendrikklaas,657581,6,41468020,2016-08-15T13:52:46Z
7053745,Hendrikklaas,657581,4,20284871,2014-01-30T14:59:41Z
7053756,Hendrikklaas,657581,7,41478744,2016-08-15T23:05:13Z
