id,key,value,type
4342281,layer,1,regular
4342281,bridge,yes,regular
4342281,highway,footway,regular
4428035,highway,cycleway,regular
4695209,highway,footway,regular
6319537,name,Laagraven,regular
6319537,landuse,commercial,regular
7010616,name,Hoogravenseweg,regular
7010616,oneway,yes,regular
7010616,highway,unclassified,regular
7010616,cycleway,opposite,regular
7010717,name,Vaartscherijnstraat,regular
7010717,highway,unclassified,regular
7010904,name,Aquamarijnlaan,regular
7010904,moped,no,regular
7010904,highway,cycleway,regular
7010904,surface,paving_stones:30,regular
7010904,designation,verplicht fietspad,regular
7012710,highway,footway,regular
7012748,name,Vronesteinlaan,regular
7012748,highway,residential,regular
7012796,name,Houdringelaan,regular
7012796,highway,residential,regular
7012837,lit,yes,regular
7012837,name,Rijnenburglaan,regular
7012837,highway,residential,regular
7012837,surface,paving_stones,regular
7012837,maxspeed,30,regular
7012875,name,Roelof Drosthof,regular
7012875,highway,pedestrian,regular
7012912,name,Oranje-Nassaulaan,regular
7012912,oneway,yes,regular
7012912,highway,unclassified,regular
7012912,cycleway,opposite,regular
7012962,name,Linschotensingel,regular
7012962,oneway,yes,regular
7012962,highway,residential,regular
7012962,cycleway,opposite,regular
7012985,lit,yes,regular
7012985,name,Montfoortlaan,regular
7012985,highway,residential,regular
7012985,surface,paving_stones,regular
7012985,maxspeed,30,regular
7013040,foot,no,regular
7013040,name,'t Goylaan,regular
7013040,lanes,2,regular
7013040,oneway,yes,regular
7013040,bicycle,no,regular
7013040,highway,secondary,regular
7013040,maxspeed,50,regular
7013109,name,Laagraven,regular
7013109,access,permissive,regular
7013109,source,survey,regular
7013109,highway,service,regular
7013109,service,parking_aisle,regular
7013109,surface,asphalt,regular
7013109,maxspeed,30,regular
7013135,name,Ravensewetering,regular
7013135,highway,tertiary,regular
7013135,maxspeed,60,regular
7013178,lanes,1,regular
7013178,oneway,yes,regular
7013178,highway,motorway_link,regular
7013178,surface,asphalt,regular
7013178,maxspeed,80,regular
7013178,destination,Ring Utrecht,regular
7013178,ref,18,junction
7013178,ref,A12,destination
7013194,ref,A12,regular
7013194,note,Parallelrijbaan,regular
7013194,lanes,2,regular
7013194,layer,1,regular
7013194,bridge,yes,regular
7013194,oneway,yes,regular
7013194,highway,motorway,regular
7013194,surface,asphalt,regular
7013194,maxspeed,80,regular
7013415,name,Heemsteedseweg,regular
7013415,highway,unclassified,regular
7013415,maxspeed,60,regular
7013415,maxwidth,2.2,regular
7013415,maxaxleload,4.8,regular
7052419,name,Schubertstraat,regular
7052419,highway,service,regular
7052419,service,parking_aisle,regular
7052419,surface,paving_stones,regular
7052433,lit,yes,regular
7052433,name,Banterveste,regular
7052433,highway,residential,regular
7052433,surface,paving_stones,regular
7052433,maxspeed,30,regular
7052443,source,survey,regular
7052443,highway,service,regular
7052443,service,parking_aisle,regular
7052443,surface,paving_stones,regular
7052443,maxspeed,50,regular
7052458,name,Harmonielaan,regular
7052458,highway,residential,regular
7052473,foot,no,regular
7052473,name,Marconibaan,regular
7052473,bicycle,no,regular
7052473,highway,unclassified,regular
7052473,maxspeed,50,regular
7052486,highway,unclassified,regular
7052486,maxspeed,50,regular
7052486,name,Brabanthaven,regular
7052501,name,Rond het Fort,regular
7052501,highway,unclassified,regular
7052501,maxspeed,50,regular
7052514,lit,yes,regular
7052514,name,Loenerveste,regular
7052514,highway,living_street,regular
7052514,surface,paving_stones,regular
7052526,name,Schubertstraat,regular
7052526,highway,unclassified,regular
7052538,name,Het Sluisje,regular
7052538,highway,cycleway,regular
7052554,name,Thomas Jeffersonpad,regular
7052554,highway,unclassified,regular
7052554,maxspeed,50,regular
7052569,name,Plettenburg,regular
7052569,highway,unclassified,regular
7052569,maxspeed,50,regular
7052583,name,Edisonbaan,regular
7052583,highway,unclassified,regular
7052583,maxspeed,50,regular
7052597,name,Plettenburg,regular
7052597,highway,unclassified,regular
7052597,maxspeed,50,regular
7052608,foot,no,regular
7052608,name,Structuurbaan,regular
7052608,bicycle,no,regular
7052608,highway,tertiary,regular
7052608,maxspeed,50,regular
7052626,name,Coltbaan,regular
7052626,highway,unclassified,regular
7052626,maxspeed,50,regular
7052645,lit,yes,regular
7052645,name,Edisonbaan,regular
7052645,highway,unclassified,regular
7052645,surface,paving_stones,regular
7052645,maxspeed,50,regular
7052657,lit,yes,regular
7052657,name,Raalterveste,regular
7052657,highway,living_street,regular
7052657,surface,paving_stones,regular
7052669,name,Galvanibaan,regular
7052669,highway,unclassified,regular
7052669,maxspeed,50,regular
7052687,name,Structuurbaan,regular
7052687,highway,unclassified,regular
7052687,maxspeed,50,regular
7052704,lit,yes,regular
7052704,name,Vreeswijksestraatweg,regular
7052704,highway,tertiary,regular
7052704,surface,asphalt,regular
7052704,cycleway,lane,regular
7052704,maxspeed,50,regular
7052720,foot,no,regular
7052720,name,Plettenburgerbaan,regular
7052720,horse,no,regular
7052720,lanes,1,regular
7052720,oneway,yes,regular
7052720,bicycle,no,regular
7052720,highway,secondary,regular
7052720,maxspeed,50,regular
